City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,belyy yar,53.6039,91.3903,-33.06,75,20,0.0,RU,1702343192
212,longyearbyen,78.2186,15.6401,-7.09,68,75,7.2,SJ,1702343192
213,gobabis,-22.45,18.9667,21.45,12,5,4.06,NA,1702343192
214,agadez,19.75,10.25,13.27,46,0,4.88,NE,1702343193
215,flying fish cove,-10.4217,105.6791,26.82,73,40,3.6,CX,1702343065
216,maragogi,-9.0122,-35.2225,25.77,75,0,4.37,BR,1702343193
217,tralee,52.2704,-9.7026,9.4,87,100,4.9,IE,1702343088
218,novaya igirma,57.1334,103.9112,-37.04,100,61,0.35,RU,1702343194
219,mana,5.6592,-53.7767,25.68,91,13,3.41,GF,1702343194
220,prado,-17.3411,-39.2208,25.5,83,100,6.11,BR,1702343195
221,sidi bennour,32.6524,-8.4277,16.2,73,51,1.04,MA,1702343195
222,ponta delgada,37.7333,-25.6667,13.4,82,20,3.09,PT,1702343195
223,atar,20.5169,-13.0499,18.52,18,22,3.38,MR,1702343195
224,portalegre,39.2938,-7.4312,11.32,94,100,1.63,PT,1702343196
225,namibe,-15.1961,12.1522,21.78,73,35,2.02,AO,1702343196
226,canitas de felipe pescador,23.6,-102.7167,13.09,61,99,5.42,MX,1702343196
227,micheweni,-4.9667,39.8333,26.56,78,100,1.54,TZ,1702343196
228,ishigaki,24.3448,124.1572,22.07,100,75,7.2,JP,1702343197
229,walvis bay,-22.9575,14.5053,16.72,88,11,4.12,NA,1702343197
230,papao,-17.75,-149.55,30.82,76,100,11.35,PF,1702343107
231,kodiak,57.79,-152.4072,-2.27,64,0,3.09,US,1702343197
232,erenhot,43.6475,111.9767,-10.17,57,55,3.43,CN,1702343198
233,sotkamo,64.1333,28.4167,-11.99,99,100,1.69,FI,1702343198
234,ancud,-41.8697,-73.8203,10.29,82,97,4.05,CL,1702343162
235,st. john's,47.5649,-52.7093,12.66,92,20,12.35,CA,1702343199
236,bargi,22.9833,79.8667,14.25,69,100,1.07,IN,1702343199
237,thompson,55.7435,-97.8558,-12.91,78,100,5.66,CA,1702343198
238,mpongwe,-13.5091,28.155,19.14,95,100,0.56,ZM,1702343199
239,kudahuvadhoo,2.6708,72.8944,27.99,72,24,1.85,MV,1702343097
240,salida,37.7058,-121.0849,14.52,53,0,1.54,US,1702343200
241,long,18.0761,99.8326,26.22,91,17,0.84,TH,1702343200
242,malvan,16.0667,73.4667,24.22,67,56,2.92,IN,1702343201
243,puerto santa,-8.9906,-78.6456,19.76,87,2,4.16,PE,1702343201
244,pokachi,61.7198,75.3683,-30.51,93,100,3.16,RU,1702343201
245,haiku-pauwela,20.9219,-156.3051,30.01,55,20,5.66,US,1702343159
246,lexington,37.9887,-84.4777,2.0,74,0,2.06,US,1702343073
247,turpan,42.9333,89.1667,-1.31,68,100,0.89,CN,1702343052
248,carnarvon,-24.8667,113.6333,28.64,39,0,1.82,AU,1702343202
249,port saint john's,-31.6229,29.5448,20.27,86,98,1.6,ZA,1702343203
250,arraial do cabo,-22.9661,-42.0278,23.36,91,13,5.27,BR,1702343203
251,altay,47.8667,88.1167,-10.55,92,97,1.16,CN,1702343122
252,afif,23.9065,42.9172,14.32,25,15,4.82,SA,1702343040
253,los frentones,-26.4077,-61.4137,25.67,56,100,4.11,AR,1702343203
254,gokwe,-18.2048,28.9349,19.49,81,98,2.06,ZW,1702343204
255,maralal,1.0968,36.698,14.0,87,100,2.28,KE,1702343204
256,iskateley,67.6803,53.1512,-14.33,91,100,7.71,RU,1702343032
257,bardai,11.65,7.2333,13.64,36,1,4.3,NG,1702343204
258,mao,39.8885,4.2658,13.31,100,40,2.06,ES,1702343205
259,trairi,-3.2778,-39.2689,26.53,77,7,5.02,BR,1702343011
260,east london,-33.0153,27.9116,19.1,87,60,2.83,ZA,1702342961
261,mariental,-24.6333,17.9667,21.71,15,0,4.2,NA,1702343205
262,gao,16.6362,1.637,17.54,30,0,6.28,ML,1702343206
263,luwuk,-0.9516,122.7875,30.74,64,100,0.54,ID,1702343206
264,turar ryskulov,42.5333,70.3333,-10.35,97,100,1.76,KZ,1702343206
265,bonny,4.4522,7.1681,26.82,83,99,3.31,NG,1702343206
266,bamboo flat,11.7,92.7167,28.05,78,40,2.57,IN,1702343207
267,begoro,6.3871,-0.3774,21.32,81,2,1.28,GH,1702343207
268,margate,51.3813,1.3862,9.83,91,10,1.34,GB,1702343175
269,ad dabbah,18.05,30.95,19.15,21,91,5.67,SD,1702343207
270,kapuskasing,49.4169,-82.4331,-7.49,88,100,3.69,CA,1702343208
271,luderitz,-26.6481,15.1594,17.84,53,0,8.93,NA,1702343038
272,nova sintra,14.8667,-24.7167,23.16,68,71,5.76,CV,1702343031
273,plymouth,41.8334,-70.8328,5.49,73,0,4.63,US,1702343208
274,itoman,26.1247,127.6694,23.01,83,75,7.72,JP,1702343037
275,stuttgart,48.7823,9.177,9.28,86,40,1.54,DE,1702343209
276,kill devil hills,36.0307,-75.676,7.21,70,0,3.6,US,1702343209
277,lindale,32.5157,-95.4094,12.25,57,0,3.09,US,1702343209
278,wenxing,28.6667,112.8833,5.24,72,15,3.39,CN,1702343209
279,jiaozuo,35.2397,113.2331,-1.71,94,100,1.17,CN,1702343210
280,quellon,-43.1167,-73.6167,9.9,88,100,2.92,CL,1702343210
281,happy valley-goose bay,53.3168,-60.3315,-0.83,86,100,3.09,CA,1702343210
282,port blair,11.6667,92.75,28.02,78,40,2.57,IN,1702343136
283,bandon,51.7469,-8.7425,8.77,93,100,1.84,IE,1702343211
284,adrar,20.5022,-10.0711,16.67,22,0,4.55,MR,1702343211
285,ambon,-3.6954,128.1814,31.08,70,40,4.12,ID,1702343211
286,alik ghund,30.4896,67.5226,0.18,52,6,2.75,PK,1702343212
287,inhambane,-23.865,35.3833,25.57,95,100,3.44,MZ,1702343202
288,vernon,50.2581,-119.2691,2.64,88,66,0.86,CA,1702343213
289,glace bay,46.1969,-59.957,14.32,95,100,15.43,CA,1702343214
290,banda aceh,5.5577,95.3222,26.51,81,98,1.0,ID,1702343214
291,angaur state,6.906,134.13,28.36,76,91,4.93,PW,1702343214
292,alofi,-19.0595,-169.9187,28.94,70,75,4.63,NU,1702343215
293,al ghayzah,16.2079,52.176,22.18,61,6,2.85,YE,1702343215
294,pisco,-13.7,-76.2167,20.03,83,0,7.72,PE,1702343033
295,strugi-krasnyye,58.2675,29.1114,-3.45,96,100,3.64,RU,1702343216
296,kingston,17.997,-76.7936,28.53,74,20,9.26,JM,1702342920
297,puerto deseado,-47.7503,-65.8938,11.09,79,67,5.23,AR,1702343216
298,sisimiut,66.9395,-53.6735,-0.92,94,100,6.66,GL,1702343019
299,richards bay,-28.783,32.0377,19.34,94,97,1.66,ZA,1702343217
300,tangalle,6.024,80.7911,24.09,90,100,1.55,LK,1702342988
301,xianning,29.8833,114.2167,4.66,73,27,2.2,CN,1702343217
302,gizo,-8.103,156.8419,28.23,75,82,4.13,SB,1702343218
303,salinopolis,-0.6136,-47.3561,27.18,81,83,6.1,BR,1702343218
304,fuengirola,36.54,-4.6247,19.91,67,0,4.63,ES,1702343026
305,kupang,-10.1667,123.5833,29.32,89,75,2.57,ID,1702343219
306,los aquijes,-14.0967,-75.6908,22.97,60,43,1.2,PE,1702343219
307,nueil-les-aubiers,46.9377,-0.5887,14.38,97,100,4.49,FR,1702343219
308,bereket,39.2446,55.5154,-1.31,43,13,10.24,TM,1702343220
309,querqueville,49.6625,-1.6912,11.82,100,100,5.14,FR,1702343220
310,i-n-salah,27.1935,2.4607,14.71,36,6,5.18,DZ,1702343220
311,carriere,10.0341,-12.8657,20.05,47,14,0.84,GN,1702343220
312,mitu,1.1983,-70.1733,23.15,97,14,0.58,CO,1702343221
313,minas de marcona,-15.2119,-75.1103,16.47,80,19,4.73,PE,1702343221
314,vorkuta,67.5,64.0,-16.8,90,100,6.54,RU,1702343025
315,alexandria,31.2156,29.9553,18.08,59,1,2.44,EG,1702343222
316,mil'kovo,55.6078,37.7956,-5.87,93,100,6.64,RU,1702343203
317,porto belo,-27.1578,-48.5531,21.97,93,53,2.59,BR,1702342995
318,duyun,26.2667,107.5167,7.97,87,99,2.07,CN,1702343131
319,vattalkundu,10.1667,77.7667,21.91,94,94,1.47,IN,1702343223
320,choyr,46.3611,108.3611,-20.41,93,83,1.94,MN,1702343224
321,la'ie,21.6477,-157.9253,29.66,74,29,3.58,US,1702343200
322,susuman,62.7833,148.1667,-21.68,96,100,2.24,RU,1702343224
323,kapoeta,4.7717,33.5903,29.32,36,87,4.71,SS,1702343225
324,iwaki,37.05,140.8833,11.74,95,100,3.65,JP,1702343225
325,saint-joseph,-21.3667,55.6167,21.37,78,53,4.35,RE,1702343226
326,codrington,-38.2667,141.9667,32.81,35,100,5.29,AU,1702343061
327,kogalym,62.2654,74.4791,-30.5,91,100,4.51,RU,1702343226
328,severo-yeniseyskiy,60.3725,93.0408,-40.24,100,59,0.45,RU,1702343190
329,pericos,25.05,-107.7,24.95,61,5,1.18,MX,1702343227
330,oarai,36.3167,140.6,12.41,92,100,4.24,JP,1702343227
331,vilyuysk,63.7553,121.6247,-27.97,97,99,3.01,RU,1702343155
332,kapa'a,22.0752,-159.319,27.99,84,75,4.12,US,1702343085
333,thunder bay,48.4001,-89.3168,-2.01,69,100,8.23,CA,1702343095
334,berdigestyakh,62.0989,126.6992,-28.62,95,100,3.45,RU,1702343207
335,caarapo,-22.6342,-54.8222,21.86,85,4,2.37,BR,1702343229
336,newman,37.3138,-121.0208,14.13,50,5,2.02,US,1702343229
337,ataq,14.5377,46.8319,13.95,33,87,2.13,YE,1702343229
338,cinisi,38.1562,13.1073,16.59,72,0,8.23,IT,1702343230
339,flin flon,54.7682,-101.865,-12.47,76,100,7.65,CA,1702343230
340,acarau,-2.8856,-40.12,26.65,79,15,7.22,BR,1702343230
341,nahan,30.55,77.3,10.06,42,5,1.89,IN,1702343230
342,parabel',58.6978,81.4825,-30.61,95,35,2.24,RU,1702343231
343,machina,13.1364,10.0492,15.36,37,0,3.99,NG,1702343231
344,edremit,39.5961,27.0244,6.93,100,0,1.54,TR,1702343231
345,pandan,14.0453,124.1694,27.95,79,29,3.77,PH,1702343232
346,wagar,16.1525,36.2032,24.96,58,4,3.66,SD,1702343232
347,laojunmiao,39.8333,97.7333,0.04,12,99,3.34,CN,1702343233
348,san,13.3034,-4.8956,23.07,16,0,3.83,ML,1702343149
349,terrace,54.5163,-128.6035,-2.8,96,49,0.85,CA,1702343233
350,coxim,-18.5067,-54.76,27.9,55,9,1.73,BR,1702343234
351,novodvinsk,64.4165,40.8122,-14.14,94,100,3.14,RU,1702343098
352,urangan,-25.3,152.9,26.19,60,18,6.12,AU,1702343234
353,am timan,11.0297,20.2827,21.93,20,100,3.6,TD,1702343235
354,cidreira,-30.1811,-50.2056,21.17,81,1,7.96,BR,1702343235
355,gargalianoi,37.0667,21.6333,10.2,77,31,4.62,GR,1702343236
356,obock,12.25,43.0833,19.01,83,94,5.74,DJ,1702343236
357,verkhnevilyuysk,63.4453,120.3167,-29.35,97,99,2.68,RU,1702343208
358,viedma,-40.8135,-62.9967,18.13,75,1,8.55,AR,1702343236
359,lautoka,-17.6167,177.4667,30.92,48,40,9.26,FJ,1702343236
360,macas,-2.3167,-78.1167,20.47,95,44,1.01,EC,1702343237
361,banfora,10.6333,-4.7667,23.12,15,0,2.37,BF,1702343237
362,alvear,-29.0968,-56.5504,21.97,75,0,3.57,AR,1702343238
